longitude,latitude,flood_susceptibility,risk_class,risk_label
6.95,5.410850268456376,0.8441533596685651,3.0,high
6.95,5.411409550335571,0.845519541234756,3.0,high
6.95,5.411968832214765,0.8468080233350512,3.0,high
6.95,5.41252811409396,0.8479977098044313,3.0,high
6.95,5.413087395973155,0.8490660784661881,3.0,high
6.95,5.413646677852349,0.849989945277466,3.0,high
6.95,5.414205959731544,0.850746527900105,3.0,high
6.95,5.414765241610739,0.8513147852381762,3.0,high
6.95,5.415324523489933,0.8516769631110803,3.0,high
6.95,5.415883805369128,0.8518202366833418,3.0,high
6.95,5.4164430872483225,0.8517383216625678,3.0,high
6.95,5.417002369127517,0.8514329369785092,3.0,high
6.95,5.417561651006712,0.8509150388440851,3.0,high
6.95,5.418120932885906,0.8502057958361966,3.0,high
6.95,5.418680214765101,0.8493373181117325,3.0,high
6.95,5.419239496644296,0.8483531759622109,3.0,high
6.95,5.41979877852349,0.8473087377887574,3.0,high
6.95,5.420358060402685,0.8462713289579116,3.0,high
6.95,5.4209173422818795,0.8453201703759288,3.0,high
6.95,5.421476624161074,0.8445460098493514,3.0,high
6.95,5.422035906040269,0.8440503198376896,3.0,high
6.95,5.422595187919463,0.8439439094558936,3.0,high
6.95,5.423154469798658,0.8443447924701553,3.0,high
6.95,5.423713751677853,0.8453751716285824,3.0,high
6.95,5.424273033557047,0.8471574471918475,3.0,high
6.95,5.424832315436242,0.8498092363968204,3.0,high
6.95,5.4253915973154365,0.853437499761043,3.0,high
6.95,5.425950879194631,0.8581320031844191,3.0,high
6.95,5.426510161073826,0.8639584883613962,3.0,high
6.95,5.42706944295302,0.8709520574119831,3.0,high
6.95,5.427628724832215,0.8791113743345749,3.0,high
6.95,5.42818800671141,0.8883943168528294,3.0,high
6.95,5.428747288590604,0.898715650316557,3.0,high
6.95,5.429306570469799,0.9099471174207638,3.0,high
6.95,5.4298658523489935,0.9219200161269416,3.0,high
6.95,5.430425134228188,0.9344297953598526,3.0,high
6.95,5.430984416107383,0.9472411103857818,3.0,high
6.95,5.431543697986577,0.9600886390620782,3.0,high
6.95,5.432102979865772,0.9726551352976065,3.0,high
6.95,5.432662261744967,0.984410899135091,3.0,high
6.95,5.433221543624161,0.9929403842369406,3.0,high
6.95,5.433780825503356,0.9888993558947812,3.0,high
6.95,5.434340107382551,0.9787822955220824,3.0,high
6.95,5.434899389261745,0.9680556425301929,3.0,high
6.95,5.43545867114094,0.9574734490848977,3.0,high
6.95,5.4360179530201345,0.9472757851875866,3.0,high
6.95,5.436577234899329,0.9375897420275958,3.0,high
6.95,5.437136516778524,0.9284918208355923,3.0,high
6.95,5.437695798657718,0.9200255310704346,3.0,high
6.95,5.438255080536913,0.9122095383967663,3.0,high
6.95,5.438814362416108,0.9050431411981312,3.0,high
6.95,5.439373644295302,0.8985107068078952,3.0,high
6.95,5.439932926174497,0.8925854829930406,3.0,high
6.95,5.4404922080536915,0.8872328801428684,3.0,high
